,ICE_IME_id,ICE_IME_id_need_manual_curation,Segment_number,Comments_ICE_IME_structure,Is_hit_blast,Is_hit_HMM,CDS_num,Genome_accession,Genome_accession_rank,CDS_locus_tag,CDS_protein_id,CDS_strand,CDS_start,CDS_end,CDS_length,Is_pseudo,CDS_Protein_type,CDS_Protein_type_blast,Description_of_blast_most_similar_ref_SP,Id_of_blast_most_similar_ref_SP,Length_of_blast_most_similar_ref_SP,Blast_ali_length,Blast_ali_start_CDS,Blast_ali_end_CDS,Blast_ali_start_Query_blast,Blast_ali_end_Query_blast,Blast_ali_identity_perc,Blast_ali_E-value,Blast_ali_bitscore,CDS_coverage_blast,Blast_ali_coverage_most_similar_ref_SP,Protein_type_of_blast_most_similar_ref_SP,Associated_element_type_of_blast_most_similar_ref_SP,ICE_superfamily_of_most_similar_ref_SP,ICE_family_of_most_similar_ref_SP,IME_superfamily_of_most_similar_ref_SP,Relaxase_family_domain_of_most_similar_ref_SP,Relaxase_family_MOB_of_most_similar_ref_SP,Coupling_type_of_most_similar_ref_SP,False_positives,SP_blast_validation,Use_annotation,Protein_type_of_matching_HMM_profile,Description_of_matching_HMM_profile,Profile_name,Length_of_matching_HMM_profile,HMM_ali_i-Evalue,HMM_ali_E-value,HMM_ali_Score,HMM_ali_Bias,HMM_ali_Global_score,HMM_ali_Global_bias,HMM_coverage,CDS_coverage_hmm,Genome,Population
29,ID_1,,1,Upstream integrase MOOBCJAM_00605 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,583,KRP146G11c3Blue,1,MOOBCJAM_00605,-,-,546748,547830,360,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CBJ22584,397.0,337.0,28.0,333.0,32.0,350.0,25.52,1.8e-19,82.4,85.0,80.35,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.8e-46,3.4e-46,142.3,0.5,143.3,0.5,98.84,45.83,KRP1_SE046_G11_cluster3_Blue,Blue
30,ID_1,,1,,0,1,595,KRP146G11c3Blue,1,MOOBCJAM_00617,-,+,556242,558758,838,-,VirB4,,,,,,,,,,,,,,,,,,,,,,,,,,VirB4,VirB4,T4SS_virb4,943,1e-115,8.3e-116,374.0,1.0,374.3,1.0,79.53,96.9,KRP1_SE046_G11_cluster3_Blue,Blue
31,ID_1,,1,,0,1,622,KRP146G11c3Blue,1,MOOBCJAM_00644,-,-,579958,582228,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.9e-17,1.9e-17,48.3,0.0,49.4,0.0,93.69,26.98,KRP1_SE046_G11_cluster3_Blue,Blue
32,,,1,,1,1,707,KRP146G11c3Blue,1,MOOBCJAM_00729,-,-,657519,658583,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,330.0,10.0,301.0,34.0,352.0,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G11_cluster3_Blue,Blue
33,,,1,,1,1,1139,KRP146G12c3Blue,1,NNLHLCIC_01181,-,-,1079910,1080974,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382,330,10,301,34,352,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G12_cluster3_Blue,Blue
34,,,1,,1,1,579,KRP146G13c1Blue,1,DOJIKGMO_00590,-,-,536828,537892,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382,330,10,301,34,352,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G13_cluster1_Blue,Blue
35,,,1,,1,1,818,KRP146G22c2Blue,1,DGAPMAHP_00846,-,+,786459,787523,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382,330,10,301,34,352,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G22_cluster2_Blue,Blue
36,,,1,,1,1,547,KRP146G23c1Blue,1,GEBFLAGN_00555,-,+,512530,513594,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382,330,10,301,34,352,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G23_cluster1_Blue,Blue
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRP1_SE046_G25_cluster1_Green,Green
38,,,1,,1,1,813,KRP146G25c3Blue,1,GFGHJDAF_00836,-,+,758337,759401,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382,330,10,301,34,352,25.76,3.01e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.9999999999999997e-28,1.5e-30,85.5,0.1,92.4,1.8,98.26,42.94,KRP1_SE046_G25_cluster3_Blue,Blue
39,,,1,,1,1,709,KRP146G26c1Blue,1,MDILJGMA_00720,-,+,643276,644274,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397,259,98,310,121,376,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE046_G26_cluster1_Blue,Blue
40,,,2,,1,1,1254,KRP146G26c1Blue,1,MDILJGMA_01290,-,-,1175601,1176665,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382,330,10,301,34,352,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G26_cluster1_Blue,Blue
41,,,1,,1,1,1194,KRP146G27c2Blue,1,DECFIFAJ_01231,-,+,1145198,1146262,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382,330,10,301,34,352,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G27_cluster2_Blue,Blue
42,,__IMEICEID_BasicEMStructure__1__,1,The SP EJCMKMPO_01088 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1068,KRP153G25c2sulfuri,1,EJCMKMPO_01088,-,+,1076104,1077507,467,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.1e-29,3.9e-30,89.4,0.2,90.9,0.4,86.04,38.33,KRP1_SE053_G25_cluster2_sulfuri,sulfuri
43,,__IMEICEID_BasicEMStructure__1__,1,The SP KBKPFNCN_00436 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,429,KRP153G27c3sulfuri,1,KBKPFNCN_00436,-,+,414928,416331,467,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.1e-29,3.9e-30,89.4,0.2,90.9,0.4,86.04,38.33,KRP1_SE053_G27_cluster3_sulfuri,sulfuri
44,ID_1,,1,,0,1,56,KRP155G01c2c2Orange,1,LKOCEOIO_00057,-,+,48203,49603,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE055_G01_cluster2_cluster2_Orange,Orange
45,ID_2,,1,,0,1,61,KRP155G01c2c2Orange,1,LKOCEOIO_00062,-,+,52432,53763,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE055_G01_cluster2_cluster2_Orange,Orange
46,,ID_1 ID_2,1,"Integrase LKOCEOIO_00067 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,66,KRP155G01c2c2Orange,1,LKOCEOIO_00067,-,+,56123,57196,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.86e-19,82.0,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.1e-42,128.8,0.3,128.9,1.6,98.26,45.94,KRP1_SE055_G01_cluster2_cluster2_Orange,Orange
47,,,2,,1,1,971,KRP155G01c2c2Orange,1,LKOCEOIO_00995,-,-,904345,905376,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379.0,273.0,57.0,290.0,80.0,346.0,26.01,5.44e-11,56.6,68.22,70.45,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.7000000000000002e-22,5.3e-23,66.2,0.0,67.8,0.0,84.88,41.69,KRP1_SE055_G01_cluster2_cluster2_Orange,Orange
48,ID_1,,1,,0,1,96,KRP155G02c1Orange,1,NMICOGEM_00097,-,+,81620,83020,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE055_G02_cluster1_Orange,Orange
49,ID_2,,1,,0,1,101,KRP155G02c1Orange,1,NMICOGEM_00102,-,+,85849,87180,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE055_G02_cluster1_Orange,Orange
50,,ID_1 ID_2,1,"Integrase NMICOGEM_00107 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,106,KRP155G02c1Orange,1,NMICOGEM_00107,-,+,89540,90613,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.86e-19,82.0,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.1e-42,128.8,0.3,128.9,1.6,98.26,45.94,KRP1_SE055_G02_cluster1_Orange,Orange
51,,,2,,1,1,1272,KRP155G02c1Orange,1,NMICOGEM_01297,-,+,1205086,1206117,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379.0,273.0,57.0,290.0,80.0,346.0,26.01,5.44e-11,56.6,68.22,70.45,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.7000000000000002e-22,5.3e-23,66.2,0.0,67.8,0.0,84.88,41.69,KRP1_SE055_G02_cluster1_Orange,Orange
