Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A0D0M8N1	unreviewed	Hydrogenase maturation protein	34073	Variovorax paradoxus	573	IPR009188	1..571
A0A0D0PNV5	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	572	IPR009188	4..572
A0A0D0RMD5	unreviewed	Formyl transferase C-terminal domain-containing protein	294	Pseudomonas fluorescens	577	IPR009188	4..577
A0A0D3L9V0	unreviewed	Formyl transferase domain-containing protein	1257021	Flammeovirgaceae bacterium 311	572	IPR009188	1..571
A0A0D5XYL0	unreviewed	Formyl transferase	587753	Pseudomonas chlororaphis	572	IPR009188	4..571
A0A0D7CKB5	unreviewed	Hydrogenase maturation protein	1240678	Streptomyces natalensis ATCC 27448	565	IPR009188	1..564
A0A0E4BM39	unreviewed	Sensor protein	1355477	Bradyrhizobium diazoefficiens	566	IPR009188	1..566
A0A0F0HSN6	unreviewed	Formyl transferase C-terminal domain-containing protein	1427391	Saccharothrix sp. ST-888	563	IPR009188	1..563
A0A0F0HV39	unreviewed	Hydrogenase maturation protein	1427391	Saccharothrix sp. ST-888	564	IPR009188	1..563
A0A0F2TGQ9	unreviewed	Hydrogenase maturation protein	359131	Streptomyces rubellomurinus (strain ATCC 31215)	558	IPR009188	1..557
A0A0F2TP20	unreviewed	Hydrogenase maturation protein	359131	Streptomyces rubellomurinus (strain ATCC 31215)	570	IPR009188	1..567
A0A0F7JUS0	unreviewed	Hydrogenase maturation protein	1543721	Sedimenticola thiotaurini	568	IPR009188	1..567
A0A0F7KFV4	unreviewed	Hydrogenase maturation protein	44574	Nitrosomonas communis	580	IPR009188	1..578
A0A0G3GKT0	unreviewed	Formyl transferase	587753	Pseudomonas chlororaphis	572	IPR009188	4..572
A0A0G3UEH1	unreviewed	Hydrogenase maturation protein	465541	Streptomyces sp. Mg1	591	IPR009188	1..570
A0A0H3D4X1	unreviewed	Formyl transferase C-terminal domain-containing protein	749927	Amycolatopsis mediterranei (strain U-32)	563	IPR009188	1..555
A0A0H4CI14	unreviewed	Formyl transferase C-terminal domain-containing protein	1577075	Streptomyces sp. PBH53	569	IPR009188	1..566
A0A0J6HKX2	unreviewed	Formyl transferase	163011	Pseudomonas lini	572	IPR009188	4..570
A0A0J6KFD5	unreviewed	Formyl transferase	1628193	Chromobacterium sp. LK1	566	IPR009188	4..566
A0A0J6RFM8	unreviewed	Formyl transferase	1628212	Chromobacterium sp. LK11	566	IPR009188	4..566
A0A0L1MIL7	unreviewed	Formyl transferase	317	Pseudomonas syringae	572	IPR009188	4..571
A0A0L6JFC1	unreviewed	Formyl transferase C-terminal domain-containing protein	1692501	Methylobacterium sp. ARG-1	582	IPR009188	1..577
A0A0L8JFQ6	unreviewed	Hydrogenase maturation protein	1938	Streptomyces viridochromogenes	573	IPR009188	1..572
A0A0L8L0I6	unreviewed	Hydrogenase maturation protein	67356	Streptomyces resistomycificus	580	IPR009188	1..580
A0A0L8MG52	unreviewed	Hydrogenase maturation protein	1961	Streptomyces virginiae	581	IPR009188	1..570
A0A0M2GKK4	unreviewed	Formyl transferase C-terminal domain-containing protein	284040	Streptomyces variegatus	581	IPR009188	1..581
A0A0M8V7B7	unreviewed	Formyl transferase C-terminal domain-containing protein	1415544	Streptomyces sp. MMG1121	574	IPR009188	1..570
A0A0M9YLJ7	unreviewed	Formyl transferase C-terminal domain-containing protein	1415557	Streptomyces sp. WM6378	588	IPR009188	1..567
A0A0M9Z525	unreviewed	Hydrogenase maturation protein	1519486	Streptomyces sp. H021	579	IPR009188	1..572
A0A0M9ZR36	unreviewed	Hydrogenase maturation protein	1519490	Streptomyces sp. NRRL WC-3618	614	IPR009188	10..598
A0A0M9ZUK2	unreviewed	Hydrogenase maturation protein	1519489	Streptomyces sp. AS58	574	IPR009188	1..572
A0A0N0A653	unreviewed	Formyl transferase C-terminal domain-containing protein	1519491	Streptomyces sp. NRRL WC-3723	569	IPR009188	1..567
A0A0N0AAC6	unreviewed	Hydrogenase maturation protein	1415549	Streptomyces sp. NRRL B-1140	581	IPR009188	1..580
A0A0N0E1N1	unreviewed	Methionyl-tRNA formyltransferase	50340	Pseudomonas fuscovaginae	572	IPR009188	4..570
A0A0N0SJE5	unreviewed	Hydrogenase maturation protein	1415546	Streptomyces sp. MMG1533	602	IPR009188	10..591
A0A0N0TD23	unreviewed	Formyl transferase C-terminal domain-containing protein	1519493	Streptomyces sp. NRRL B-3648	569	IPR009188	1..567
A0A0N1G3C9	unreviewed	Enoyl-CoA hydratase/isomerase	1592326	Actinobacteria bacterium OK006	603	IPR009188	1..584
A0A0N1HEQ8	unreviewed	Formyl transferase C-terminal domain-containing protein	1592329	Actinobacteria bacterium OV320	582	IPR009188	1..572
A0A0N1JVY1	unreviewed	Hydrogenase maturation protein	66876	Streptomyces chattanoogensis	566	IPR009188	1..565
A0A0N9WPG9	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	572	IPR009188	4..572
A0A0P4R5U1	unreviewed	NiFe-hydrogenase maturation protein HoxX	1546107	Streptomyces lydicamycinicus	564	IPR009188	1..564
A0A0Q4EKK3	unreviewed	Formyl transferase	1735680	Pseudomonas sp. Leaf15	572	IPR009188	4..571
A0A0Q6A261	unreviewed	Hydrogenase maturation protein	1736363	Bradyrhizobium sp. Leaf396	566	IPR009188	1..566
A0A0Q6YHC7	unreviewed	Formyl transferase C-terminal domain-containing protein	1736523	Streptomyces sp. Root369	593	IPR009188	1..582
A0A0Q7ALV6	unreviewed	Formyl transferase	1736526	Pseudomonas sp. Root401	572	IPR009188	4..572
A0A0Q7DST4	unreviewed	Formyl transferase N-terminal domain-containing protein	1736441	Methylibium sp. Root1272	593	IPR009188	1..593
A0A0Q7HTB2	unreviewed	Hydrogenase maturation protein	1736536	Variovorax sp. Root434	570	IPR009188	1..569
A0A0Q7LCW0	unreviewed	Hydrogenase maturation protein	1736541	Variovorax sp. Root473	570	IPR009188	1..568
A0A0Q8BY29	unreviewed	Formyl transferase	1736566	Pseudomonas sp. Root569	577	IPR009188	4..577
A0A0Q8DE60	unreviewed	Hydrogenase maturation protein	1736568	Lysobacter sp. Root604	569	IPR009188	1..567
A0A0Q8P8J1	unreviewed	Hydrogenase maturation protein	1736486	Kitasatospora sp. Root187	565	IPR009188	1..565
A0A0Q9A0T0	unreviewed	Hydrogenase maturation protein	1736503	Streptomyces sp. Root264	593	IPR009188	1..582
A0A0Q9F196	unreviewed	Hydrogenase maturation protein	1736612	Lysobacter sp. Root96	566	IPR009188	1..560
A0A0R2YI87	unreviewed	Formyl transferase	75588	Pseudomonas libanensis	577	IPR009188	4..577
A0A0R3AQP2	unreviewed	Formyl transferase	1615673	Pseudomonas paralactis	578	IPR009188	4..576
A0A0S2DIZ9	unreviewed	Formyl transferase/enoyl-CoA hydratase/isomerase family protein	69	Lysobacter enzymogenes	603	IPR009188	32..602
A0A0S2F9H8	unreviewed	Enoyl-CoA hydratase/isomerase family protein	84531	Lysobacter antibioticus	575	IPR009188	7..568
A0A0S4N227	unreviewed	Methionyl-tRNA formyltransferase	1643428	Candidatus Thermokryptus mobilis	561	IPR009188	1..561
A0A0S6UPW7	unreviewed	Probable sensor protein hoxX	1126627	Bradyrhizobium sp. DOA9	566	IPR009188	1..566
A0A0S7Z5N7	unreviewed	Hydrogenase maturation protein	1703404	Gammaproteobacteria bacterium SG8_30	566	IPR009188	1..566
A0A0T1SVV8	unreviewed	Hydrogenase maturation protein	1736452	Streptomyces sp. Root1310	581	IPR009188	1..571
A0A0U5MNW2	unreviewed	Hydrogenase maturation factor HoxX	1663591	Magnetospirillum sp. XM-1	550	IPR009188	1..550
A0A0V7Z481	unreviewed	Formyl transferase C-terminal domain-containing protein	1730094	Methylobacterium sp. GXS13	581	IPR009188	1..574
A0A0W0HVL9	unreviewed	Formyl transferase	1198309	Pseudomonas fluorescens ICMP 11288	572	IPR009188	4..571
A0A0W0N3P7	unreviewed	Formyl transferase	1208102	Pseudomonas sp. ICMP 19500	575	IPR009188	4..573
A0A0X3S937	unreviewed	Hydrogenase maturation protein	1609098	Streptomyces sp. NRRL F-5122	578	IPR009188	1..573
A0A0X3UVS3	unreviewed	Formyl transferase C-terminal domain-containing protein	135947	Actinoplanes awajinensis subsp. mycoplanecinus	610	IPR009188	1..569
A0A0X3V1P0	unreviewed	Hydrogenase maturation protein	1609095	Streptomyces sp. NRRL F-4489	571	IPR009188	1..570
A0A0X3XY07	unreviewed	Hydrogenase maturation protein	1609103	Streptomyces sp. NRRL WC-3605	560	IPR009188	1..559
A0A100JJE2	unreviewed	Enoyl-CoA hydratase	1930	Streptomyces scabiei	574	IPR009188	1..573
A0A101JCK6	unreviewed	Hydrogenase maturation protein	68262	Streptomyces regalis	574	IPR009188	1..569
A0A101QDN8	unreviewed	Hydrogenase maturation protein	1903	Streptomyces corchorusii	569	IPR009188	1..567
A0A101S4I5	unreviewed	Hydrogenase maturation protein	58343	Streptomyces canus	593	IPR009188	1..582
A0A101SPF2	unreviewed	Formyl transferase C-terminal domain-containing protein	285568	Streptomyces bungoensis	567	IPR009188	1..566
A0A101SW65	unreviewed	Formyl transferase C-terminal domain-containing protein	1943	Streptomyces griseoruber	591	IPR009188	1..580
A0A101UBW7	unreviewed	Hydrogenase maturation protein	1739111	Streptomyces sp. DSM 15324	596	IPR009188	1..580
A0A108U6S0	unreviewed	Methionyl-tRNA formyltransferase	1444315	Lysobacter capsici AZ78	574	IPR009188	3..571
A0A109FQU5	unreviewed	Formyl transferase	191390	Pseudomonas palleroniana	572	IPR009188	4..570
A0A117PZW4	unreviewed	Formyl transferase C-terminal domain-containing protein	67386	Streptomyces yokosukanensis	569	IPR009188	1..568
A0A117RRF3	unreviewed	Hydrogenase maturation protein	661399	Streptomyces caeruleatus	580	IPR009188	1..577
A0A120G0J0	unreviewed	4-chlorobenzoyl coenzyme A dehalogenase	294	Pseudomonas fluorescens	575	IPR009188	4..573
A0A120G6S9	unreviewed	Methionyl-tRNA formyltransferase	294	Pseudomonas fluorescens	534	IPR009188	1..532
A0A124GZS7	unreviewed	Formyl transferase C-terminal domain-containing protein	146536	Streptomyces curacoi	568	IPR009188	1..566
A0A124HCS8	unreviewed	Formyl transferase C-terminal domain-containing protein	67285	Streptomyces cellostaticus	571	IPR009188	1..568
A0A133XE38	unreviewed	Hydrogenase maturation protein	281362	Dechloromonas denitrificans	558	IPR009188	1..556
A0A137SLW9	unreviewed	Hydrogenase assembly protein HoxX	756698	Moritella sp. JT01	571	IPR009188	1..570
A0A139WQL7	unreviewed	Formyl transferase C-terminal domain-containing protein	128403	Scytonema hofmannii PCC 7110	567	IPR009188	1..565
A0A143BU32	unreviewed	Formyl transferase C-terminal domain-containing protein	1783515	Streptomyces qaidamensis	581	IPR009188	1..579
A0A150U920	unreviewed	Hydrogenase maturation protein	574934	Bradyrhizobium sp. AT1	566	IPR009188	1..566
A0A154I8F4	unreviewed	Formyl transferase C-terminal domain-containing protein	384	Rhizobium leguminosarum	561	IPR009188	1..561
A0A163CLE9	unreviewed	Hydrogenase maturation protein	1763535	Hydrogenophaga crassostreae	584	IPR009188	7..584
A0A165Z648	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	572	IPR009188	4..571
A0A170RZ99	unreviewed	Formyltransferase	39478	Streptomyces laurentii	565	IPR009188	1..559
A0A178MGU9	unreviewed	Hydrogenase maturation protein	1437059	Magnetospirillum moscoviense	538	IPR009188	1..538
A0A178MQ88	unreviewed	Hydrogenase maturation protein	1285242	Paramagnetospirillum marisnigri	544	IPR009188	1..544
A0A179BGR6	unreviewed	Formyl transferase C-terminal domain-containing protein	384	Rhizobium leguminosarum	561	IPR009188	1..561
A0A1A0JK02	unreviewed	Formyl transferase C-terminal domain-containing protein	1834087	Nocardia sp. 852002-20019_SCH5090214	564	IPR009188	1..564
A0A1A8XLS9	unreviewed	Hydrogenase maturation factor HoxX	1860102	Candidatus Accumulibacter aalborgensis	572	IPR009188	1..569
A0A1A9BVV1	unreviewed	Formyl transferase C-terminal domain-containing protein	1839783	Streptomyces sp. DI166	570	IPR009188	1..566
A0A1B1B1C6	unreviewed	Formyl transferase C-terminal domain-containing protein	68214	Streptomyces griseochromogenes	574	IPR009188	1..571
A0A1B1CMW3	unreviewed	Formyl transferase C-terminal domain-containing protein	384	Rhizobium leguminosarum	561	IPR009188	1..561
A0A1B3LJY1	unreviewed	Formyl transferase C-terminal domain-containing protein	1842540	Methyloversatilis sp. RAC08	580	IPR009188	4..580
A0A1B4XG81	unreviewed	Hydrogenase maturation protein	1620215	Sulfuricaulis limicola	571	IPR009188	1..571
A0A1B5CVD7	unreviewed	4-chlorobenzoyl coenzyme A dehalogenase	1844105	Pseudomonas sp. 44 R 15	579	IPR009188	4..575
A0A1C2G168	unreviewed	Hydrogenase maturation protein	163359	Acidiferrobacter thiooxydans	577	IPR009188	1..576
A0A1C3P224	unreviewed	Formyl transferase C-terminal domain-containing protein	1839754	Candidatus Protofrankia californiensis	600	IPR009188	1..578
A0A1C5DHS2	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1839766	Streptomyces sp. DconLS	582	IPR009188	1..574
A0A1C6LX00	unreviewed	Formyl transferase C-terminal domain-containing protein	1286822	Streptomyces sp. WMMB 714	566	IPR009188	1..565
A0A1C6MTT5	unreviewed	Methionyl-tRNA formyltransferase	1100824	Streptomyces sp. SceaMP-e96	569	IPR009188	1..568
A0A1C6QIB6	unreviewed	Formyl transferase C-terminal domain-containing protein	1286821	Streptomyces sp. WMMB 322	567	IPR009188	1..567
A0A1D7VKK2	unreviewed	Hydrogenase maturation protein	47763	Streptomyces lydicus	569	IPR009188	1..568
A0A1D7YM17	unreviewed	Hydrogenase maturation protein	1904616	Streptomyces fodineus	569	IPR009188	1..566
A0A1D9LJV8	unreviewed	Formyl transferase	1108595	Chromobacterium vaccinii	565	IPR009188	4..565
A0A1E2UUS1	unreviewed	Hydrogenase maturation protein	1818881	Candidatus Thiodiazotropha endoloripes	568	IPR009188	1..567
A0A1E4IU31	unreviewed	Formyl transferase C-terminal domain-containing protein	1660152	Variovorax sp. SCN 67-85	573	IPR009188	1..572
A0A1E5G3A4	unreviewed	Formyl transferase C-terminal domain-containing protein	766136	Desulfuribacillus alkaliarsenatis	570	IPR009188	1..567
A0A1E5L572	unreviewed	Hydrogenase maturation protein	1390249	Desulfuribacillus stibiiarsenatis	560	IPR009188	1..557
A0A1E5PG55	unreviewed	Hydrogenase maturation protein	285458	Streptomyces agglomeratus	596	IPR009188	1..583
A0A1E5PZN7	unreviewed	Hydrogenase maturation protein	36818	Streptomyces subrutilus	589	IPR009188	1..573
A0A1E5Q502	unreviewed	Hydrogenase maturation protein	28181	Magnetovibrio blakemorei	567	IPR009188	1..566
A0A1E7JGW7	unreviewed	Formyl transferase C-terminal domain-containing protein	933944	Streptomyces abyssalis	585	IPR009188	1..573
A0A1E7JMN9	unreviewed	Hydrogenase maturation protein	1075402	Streptomyces oceani	564	IPR009188	1..560
A0A1E7K6C1	unreviewed	Hydrogenase maturation protein	943816	Streptomyces qinglanensis	560	IPR009188	1..558
A0A1E7KJ59	unreviewed	Hydrogenase maturation protein	518642	Streptomyces nanshensis	556	IPR009188	1..556
A0A1E7NAG0	unreviewed	Formyl transferase C-terminal domain-containing protein	1894	Kitasatospora aureofaciens	570	IPR009188	1..569
A0A1E7NG68	unreviewed	Hydrogenase maturation protein	1894	Kitasatospora aureofaciens	563	IPR009188	1..558
A0A1F3WTJ4	unreviewed	Hydrogenase maturation protein	1797475	Betaproteobacteria bacterium RBG_16_56_24	508	IPR009188	1..279,306..486
A0A1F4KEL7	unreviewed	Hydrogenase maturation protein	1797566	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_61_40	570	IPR009188	1..568
A0A1F4LEV7	unreviewed	Hydrogenase maturation protein	1797569	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_65_40	592	IPR009188	1..591
A0A1F4M5Z4	unreviewed	Hydrogenase maturation protein	1797574	Burkholderiales bacterium RIFOXYD12_FULL_59_19	599	IPR009188	1..597
A0A1F6PIV4	unreviewed	Hydrogenase maturation protein	1817871	Candidatus Margulisbacteria bacterium GWD2_39_127	565	IPR009188	1..565
A0A1F6TSB9	unreviewed	Hydrogenase maturation protein	1817760	Candidatus Muproteobacteria bacterium RBG_16_65_34	573	IPR009188	1..573
A0A1G0BZ36	unreviewed	Hydrogenase maturation protein	1798245	Gallionellales bacterium GWA2_59_43	565	IPR009188	1..563
A0A1G0CPW0	unreviewed	Hydrogenase maturation protein	1798247	Gallionellales bacterium GWA2_60_18	574	IPR009188	1..574
A0A1G0D8D3	unreviewed	Hydrogenase maturation protein	1798254	Gallionellales bacterium RIFCSPLOWO2_02_FULL_57_47	647	IPR009188	15..286,323..645
A0A1G0DLB5	unreviewed	Hydrogenase maturation protein	1798252	Gallionellales bacterium RIFCSPLOWO2_02_58_13	567	IPR009188	1..567
A0A1G3H791	unreviewed	Hydrogenase maturation protein	1802017	Rhodocyclales bacterium GWA2_65_20	575	IPR009188	1..572
A0A1G3HBX0	unreviewed	Hydrogenase maturation protein	1802016	Rhodocyclales bacterium GWA2_65_19	575	IPR009188	1..572
A0A1G3HHU2	unreviewed	Hydrogenase maturation protein	1802018	Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24	575	IPR009188	1..572
A0A1G3IDS9	unreviewed	Hydrogenase maturation protein	1802019	Rhodoferax sp. RIFCSPLOWO2_12_FULL_60_11	565	IPR009188	1..563
A0A1G3TDZ5	unreviewed	Hydrogenase	1802253	Sulfurimonas sp. RIFCSPLOWO2_12_36_12	548	IPR009188	1..548
A0A1G3TFX7	unreviewed	Hydrogenase	1802253	Sulfurimonas sp. RIFCSPLOWO2_12_36_12	558	IPR009188	1..556
A0A1G3TLN7	unreviewed	Hydrogenase	1802256	Sulfurimonas sp. RIFOXYB12_FULL_35_9	548	IPR009188	1..548
A0A1G3UGJ2	unreviewed	Hydrogenase	1802261	Sulfurimonas sp. RIFOXYD2_FULL_34_21	562	IPR009188	1..560
A0A1G4YNP4	unreviewed	Formyl transferase C-terminal domain-containing protein	1566270	Variovorax sp. EL159	572	IPR009188	1..569
A0A1G5BC57	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1172182	Streptomyces sp. 136MFCol5.1	594	IPR009188	1..582
A0A1G5QHD5	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	415747	Thiohalomonas denitrificans	560	IPR009188	1..560
A0A1G5W1A2	unreviewed	Methionyl-tRNA formyltransferase	1566243	Pseudomonas sp. NFACC15-1	572	IPR009188	4..572
A0A1G7VBS3	unreviewed	Formyl transferase C-terminal domain-containing protein	366584	Pseudonocardia oroxyli	572	IPR009188	1..571
A0A1G8FJ12	unreviewed	Formyl transferase C-terminal domain-containing protein	1882826	Variovorax sp. OV700	586	IPR009188	6..586
A0A1G8JJX4	unreviewed	Formyl transferase C-terminal domain-containing protein	633440	Nonomuraea jiangxiensis	599	IPR009188	33..598
A0A1G8Y1V0	unreviewed	Formyl transferase C-terminal domain-containing protein	718193	Ferrimonas sediminum	577	IPR009188	1..577
A0A1G9EPG7	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	683260	Nonomuraea maritima	568	IPR009188	1..567
A0A1G9Q2F3	unreviewed	Formyl transferase C-terminal domain-containing protein	1196353	Streptomyces wuyuanensis	569	IPR009188	1..568
A0A1G9YF17	unreviewed	Formyl transferase C-terminal domain-containing protein	582672	Methylobacterium phyllostachyos	585	IPR009188	1..570
A0A1G9ZFY9	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1761904	Streptomyces sp. cf386	568	IPR009188	1..567
A0A1H0ARR6	unreviewed	Formyl transferase	219572	Pseudomonas antarctica	573	IPR009188	4..573
A0A1H1MBC5	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1148509	Pseudomonas prosekii	572	IPR009188	4..571
A0A1H1YXC4	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	53407	Pseudomonas asplenii	573	IPR009188	4..571
A0A1H2EAE6	unreviewed	Formyl transferase	76758	Pseudomonas orientalis	579	IPR009188	4..576
A0A1H2XLI6	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	44574	Nitrosomonas communis	580	IPR009188	1..580
A0A1H3ILT6	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1761791	Lysobacter sp. yr284	574	IPR009188	3..572
A0A1H3P3L7	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	44576	Nitrosomonas halophila	572	IPR009188	1..569
A0A1H3UCB4	unreviewed	Methionyl-tRNA formyltransferase	1566235	Pseudomonas sp. NFIX28	572	IPR009188	4..571
A0A1H3UKB4	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	191391	Pseudomonas salomonii	572	IPR009188	4..571
A0A1H4MHT5	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	556534	Pseudomonas saponiphila	572	IPR009188	4..570
A0A1H4NWF6	unreviewed	Methionyl-tRNA formyltransferase	67331	Streptomyces misionensis	569	IPR009188	1..567
A0A1H4R4M3	unreviewed	Formyl transferase C-terminal domain-containing protein	1855347	Streptomyces sp. 2231.1	571	IPR009188	1..566
A0A1H4TZQ6	unreviewed	Formyl transferase C-terminal domain-containing protein	208445	Amycolatopsis tolypomycina	562	IPR009188	1..560
A0A1H5AIQ2	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1855351	Streptomyces sp. PAN_FS17	568	IPR009188	1..567
A0A1H5GPX6	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1881019	Streptomyces sp. TLI_105	566	IPR009188	1..559
A0A1H5NVM0	unreviewed	Formyl transferase	191390	Pseudomonas palleroniana	572	IPR009188	4..570
A0A1H5PSK3	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1855349	Streptomyces sp. Ag109_O5-10	555	IPR009188	1..554
A0A1H5UIC6	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	488547	Jhaorihella thermophila	556	IPR009188	1..555
A0A1H5VSG4	unreviewed	Formyl transferase C-terminal domain-containing protein	310779	Actinacidiphila yanglinensis	580	IPR009188	1..567
A0A1H6EXT3	unreviewed	Formyl transferase C-terminal domain-containing protein	1144553	Nonomuraea solani	577	IPR009188	11..576
A0A1H6NY53	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	50340	Pseudomonas fuscovaginae	573	IPR009188	4..571
A0A1H7A2X2	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1884311	Variovorax sp. OK202	574	IPR009188	1..573
A0A1H7IR88	unreviewed	Formyl transferase C-terminal domain-containing protein	46177	Nonomuraea pusilla	577	IPR009188	1..571
A0A1H7MCM7	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1884384	Variovorax sp. YR750	571	IPR009188	1..570
A0A1H7NFP7	unreviewed	Formyl transferase C-terminal domain-containing protein	235985	Streptacidiphilus jiangxiensis	582	IPR009188	1..581
A0A1H7XEX6	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	235985	Streptacidiphilus jiangxiensis	574	IPR009188	1..573
A0A1H8HEF2	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	917	Nitrosomonas marina	595	IPR009188	15..595
A0A1H8LVY3	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	42354	Nitrosomonas oligotropha	576	IPR009188	1..575
A0A1H8STG2	unreviewed	Hydrogenase maturation protein	310780	Actinacidiphila rubida	569	IPR009188	1..568
A0A1H9TI40	unreviewed	Hydrogenase maturation protein	943816	Streptomyces qinglanensis	560	IPR009188	1..559
A0A1H9XQC6	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1761906	Streptomyces sp. yr375	557	IPR009188	1..557
A0A1I0DBE4	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	917	Nitrosomonas marina	578	IPR009188	1..578
A0A1I1PFR4	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	910347	Streptomyces aidingensis	582	IPR009188	1..562
A0A1I1X9N8	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1881054	Nitrosomonas sp. Nm166	567	IPR009188	1..567
A0A1I2HKD0	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	68239	Streptomyces mirabilis	603	IPR009188	1..583
A0A1I3G1D1	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1761771	Bradyrhizobium sp. cf659	566	IPR009188	1..566
A0A1I3HWY1	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1881055	Nitrosomonas sp. Nm34	580	IPR009188	1..579
A0A1I4BT31	unreviewed	Formyl transferase C-terminal domain-containing protein	1612308	Methylocapsa palsarum	617	IPR009188	1..604
A0A1I4E3U5	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	1761790	Lysobacter sp. cf310	571	IPR009188	3..569
A0A1I4EBE3	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	52441	Nitrosomonas aestuarii	558	IPR009188	1..558
